Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton),Sisa Makanan,Sisa Makanan (%),KayuRanting,KayuRanting (%),KertasKarton,KertasKarton (%),Plastik,Plastik(%),Logam,Logam(%),Kain,Kain(%),Karet Kulit,Karet Kulit (%),Kaca,Kaca(%),Lainnya,Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton),Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B), %Pengurangan Sampah(B/A) ,Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Luas Wilayah (km2)(A),Luas RTH (km2)(B),% RTH(B/A),Taman Kota (km2),Hutan Kota (km2),Jalur hijau di Jalan (km2),Sempadan Sungai (km2),Sempadan Pantai (km2),Tempat Pemakaman Umum (km2),Sempadan Rel Kereta Api (km2),Jalur Hijau Jaringan Listrik Tegangan Tinggi (km2),Pengaman Sumber_Air Baku Mata Air (km2),Kebun Bibit (km2),Lainlain (km2),Klaster
2024,Maluku,Kab. Buru,64.58,23572.5,1153790.55,33.0,594376.95,17.0,349633.5,10.0,1013937.15,29.0,34963.35,1.0,104890.05,3.0,950.2164048,4.030952381,69926.7,2.0,174816.75,5.0,7.75,0.5,6.0,2.0,0.5,11.13871795,7.414117647,23572.5,2.0,0.00848,2105.0,8.9299,2107.0,8.93838,2.0,2105.0,8.94,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Maluku,Kab. Seram Bagian Barat,86.96,31738.79,1153790.55,33.0,594376.95,17.0,349633.5,10.0,1013937.15,29.0,34963.35,1.0,104890.05,3.0,0.0,0.0,69926.7,2.0,174816.75,5.0,35.56411765,8.03877193,22.26166667,12.14684211,11.49140351,11.13871795,7.414117647,31738.79,15.0,0.04726,431.0,1.35796,446.0,1.40522,15.0,431.0,1.41,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Maluku,Kab. Kepulauan Aru,45.01,16429.53,1153790.55,33.0,594376.95,17.0,349633.5,10.0,1013937.15,29.0,34963.35,1.0,104890.05,3.0,0.0,0.0,69926.7,2.0,174816.75,5.0,35.56411765,8.03877193,22.26166667,12.14684211,11.49140351,11.13871795,7.414117647,16429.53,163.0,0.99212,358.0,2.179,521.0,3.17112,163.0,358.0,2.18,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Maluku,Kab. Maluku Barat Daya,37.51,13689.84,566406.27,16.2,444034.545,12.7,533191.0875,15.25,509066.376,14.56,240198.2145,6.87,270266.6955,7.73,260476.9575,7.45,359772.8715,10.29,312921.9825,8.95,7.19,0.61,3.26,4.72,0.14,0.76,0.45,13689.84,64.0,0.4675,162.0,1.18336,226.0,1.65086,237.8823529,162.0,1.18,P 2,8633.15,0.037,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Maluku,Kota Ambon,247.84,90460.29,566406.27,16.2,444034.545,12.7,533191.0875,15.25,509066.376,14.56,240198.2145,6.87,270266.6955,7.73,260476.9575,7.45,359772.8715,10.29,312921.9825,8.95,68.31,10.33666667,56.00666667,28.34,22.13666667,6.573333333,5.6,90460.29,8615.333333,9.52388,3488.0,3.85584,12103.33,13.37972,848.0,3488.0,3.86,P 2,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Maluku Utara,Kab. Halmahera Timur,53.84,19652.42,566406.27,16.2,444034.545,12.7,533191.0875,15.25,509066.376,14.56,240198.2145,6.87,270266.6955,7.73,260476.9575,7.45,359772.8715,10.29,312921.9825,8.95,68.15972222,6.768055556,15.04861111,9.820833333,7.045833333,4.008333333,2.485,19652.42,4.0,0.02035,16927.0,86.13189,16931.0,86.15224,4.0,99.0,0.524108481296451,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Papua,Kab. Jayapura,101.89,37188.39,1206235.575,34.5,69926.7,2.0,839120.4,24.0,1090856.52,31.2,148594.2375,4.25,34963.35,1.0,52445.025,1.5,743.76,2.0,54193.1925,1.55,80.0,0.3,9.0,0.5,5.8,0.3,3.0,37188.39,0.0,0.0,1799.0,4.83753,1799.0,4.83753,4717.5,1799.0,4.84,P 2,17516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua,Kab. Kepulauan Yapen,46.44,16951.62,1206235.575,34.5,69926.7,2.0,839120.4,24.0,1090856.52,31.2,148594.2375,4.25,34963.35,1.0,52445.025,1.5,0.0,0.0,54193.1925,1.55,63.13565217,13.76413043,16.76782609,16.18925,23.83891304,3.507608696,4.306851852,16951.62,113.5,0.66955,0.0,0.0,113.5,0.66955,110.0,0.0,0.6489055323326031,P 2,714616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua,Kab. Sarmi,17.0,6205.0,1206235.575,34.5,69926.7,2.0,839120.4,24.0,1090856.52,31.2,148594.2375,4.25,34963.35,1.0,52445.025,1.5,0.0,0.0,54193.1925,1.55,6.0,2.0,1.6,16.18925,2.0,1.0,0.73,6205.0,308.0,4.96374,85.0,1.36986,393.0,6.3336,308.0,85.0,6.33,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua,Kab. Keerom,25.4,9271.0,524450.25,15.0,524450.25,15.0,524450.25,15.0,1048900.5,30.0,174816.75,5.0,174816.75,5.0,349633.5,10.0,174816.75,5.0,463.55,5.0,30.0,5.0,35.0,15.0,13.0,2.0,6.666666667,9271.0,4.0,0.04315,241.0,2.5995,245.0,2.64265,2.0,502.73333333333335,5.444216733182325,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua Barat,Kab. Manokwari,210.0,76650.0,1538387.4,44.0,69926.7,2.0,384596.85,11.0,909047.1,26.0,2555.0,3.333333333,1277.5,1.666666667,1916.25,2.5,1277.5,1.666666667,594376.95,17.0,70.4,2.0,19.8,4.4,4.3,3.0,2.765,76650.0,248.0,0.32355,1095.0,1.42857,1343.0,1.75212,248.0,1095.0,1.43,P 2,4650.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua Barat,Kab. Teluk Wondama,17.81,6501.96,524450.25,15.0,0.0,0.0,524450.25,15.0,909047.1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538387.4,44.0,91.12857143,3.714285714,15.92428571,4.714285714,3.825714286,3.0,2.765,6501.96,3.0,0.04614,73.0,1.12274,76.0,1.16888,3.0,73.0,1.17,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua Selatan,Kab. Asmat,47.41,17305.38,699267.0,20.0,412567.53,11.8,524450.25,15.0,1398534.0,40.0,139853.4,4.0,83912.04,2.4,104890.05,3.0,62934.03,1.8,69926.7,2.0,31.0,2.0,4.0,3.0,4.12,2.49,0.8,17305.38,110.0,0.63564,2920.4,16.87568,3030.4,17.51132,110.0,50.0,0.63,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua Tengah,Kab. Mimika,159.34,58160.01,699267.0,20.0,412567.53,11.8,524450.25,15.0,1398534.0,40.0,139853.4,4.0,83912.04,2.4,104890.05,3.0,62934.03,1.8,69926.7,2.0,81.2,0.13,4.73,2.0,0.94,1.0,0.5,58160.01,3.0,0.00516,793.0,1.36348,796.0,1.36864,9833.030387,793.0,1.36,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Papua Barat Daya,Kab. Sorong,51.99,18974.6,699267.0,20.0,412567.53,11.8,524450.25,15.0,1398534.0,40.0,139853.4,4.0,83912.04,2.4,104890.05,3.0,62934.03,1.8,69926.7,2.0,1.22,0.625,1.2,0.5,0.9,1.0,1.35,18974.6,41.0,0.21608,1533.0,8.07922,1574.0,8.2953,40.0,1533.0,8.29,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
